"ID","Titolo","Severità","Stato","Ambiente","PassiRiproduzione","ComportamentoAtteso","LogErrore","Area","Componente","Owner","Scadenza","Repo","Introduzione","Note"
"BUG-001","Console.log statements in production build","Minore","Da fare","Production","1. Build app for production 2. Check browser console 3. Observe console.log outputs","No console.log statements in production build","Multiple console.log found in components and API routes","Frontend","Build Process","Frontend Developer","2024-02-05","mistervertex","2024-01-15","Found 15+ console.log statements that should be removed before production"
"BUG-002","Inconsistent error handling across API routes","Maggiore","Da fare","All","1. Call various API endpoints with invalid data 2. Observe different error response formats 3. Check error logging","Consistent error response format and proper logging","Different error formats: some return 500, others 400, inconsistent message structure","Backend","API Routes","Backend Developer","2024-02-10","mistervertex","2024-01-10","Each API route handles errors differently, making client-side error handling difficult"
"BUG-003","Missing input validation on predictions endpoint","Critico","Da fare","Production","1. Send malformed data to /api/predictions 2. Send extremely large payloads 3. Send SQL injection attempts","Input validation should reject invalid data with proper error messages","Potential security vulnerability, no input sanitization","Backend","Predictions API","Backend Developer","2024-02-01","mistervertex","2024-01-12","Critical security issue - endpoint accepts unvalidated input"
"BUG-004","Mobile navigation menu not fully responsive","Minore","Da fare","Mobile","1. Open app on mobile device 2. Navigate through menu items 3. Test on different screen sizes","Menu should be fully responsive and touch-friendly on all mobile devices","Menu items overlap on small screens, touch targets too small","Frontend","Navigation","Frontend Developer","2024-02-15","mistervertex","2024-01-18","UX issue affecting mobile users, especially on smaller screens"
"BUG-005","JWT token expiration not handled gracefully","Maggiore","Da fare","All","1. Login to app 2. Wait for JWT to expire 3. Try to make authenticated requests","App should refresh token or redirect to login with clear message","App shows generic error, user confused about authentication state","Backend","Authentication","Backend Developer","2024-02-08","mistervertex","2024-01-14","Poor UX when tokens expire, users don't understand what happened"
"BUG-006","Database connection pool not configured","Maggiore","Da fare","Production","1. Generate high concurrent load 2. Monitor database connections 3. Observe connection exhaustion","Connection pooling should handle concurrent requests efficiently","Database connection errors under load, no connection pooling configured","Backend","Database","Backend Developer","2024-02-12","mistervertex","2024-01-16","Performance issue that will affect scalability"
"BUG-007","Missing CORS configuration for some endpoints","Maggiore","Da fare","Production","1. Make cross-origin requests to API 2. Test from different domains 3. Check browser console for CORS errors","CORS should be properly configured for all endpoints","Some endpoints return CORS errors when accessed from different origins","Backend","API Configuration","Backend Developer","2024-02-10","mistervertex","2024-01-13","Blocks integration with external services and frontend deployments"
"BUG-008","PWA service worker caching issues","Minore","Da fare","PWA","1. Install PWA 2. Go offline 3. Try to navigate 4. Check cached resources","PWA should work offline with proper caching strategy","Some resources not cached, offline functionality incomplete","Frontend","PWA","Frontend Developer","2024-02-20","mistervertex","2024-01-17","PWA experience degraded, offline mode not fully functional"
"BUG-009","Admin dashboard performance issues with large datasets","Maggiore","Da fare","Production","1. Login as admin 2. Navigate to dashboard with 1000+ records 3. Observe loading times","Dashboard should load quickly even with large datasets","Dashboard becomes slow and unresponsive with large amounts of data","Frontend","Admin Dashboard","Frontend Developer","2024-02-15","mistervertex","2024-01-19","Admin UX degraded, affects productivity"
"BUG-010","Email notifications not being sent consistently","Critico","Da fare","Production","1. Trigger email notification 2. Check email delivery 3. Monitor SMTP logs","All email notifications should be delivered reliably","Email notifications fail intermittently, no proper error handling","Backend","Email Service","Backend Developer","2024-02-05","mistervertex","2024-01-11","Critical business function not working reliably"
"BUG-011","Memory leak in real-time updates component","Maggiore","Da fare","All","1. Keep app open for extended period 2. Monitor memory usage 3. Observe memory growth","Memory usage should remain stable over time","Memory usage continuously increases, browser becomes slow","Frontend","Real-time Updates","Frontend Developer","2024-02-12","mistervertex","2024-01-20","Performance degradation over time, affects user experience"
"BUG-012","Backup system not verifying data integrity","Maggiore","Da fare","Production","1. Create backup 2. Attempt to restore 3. Verify data completeness","Backup should include integrity checks and verification","Backups created but not tested, no integrity verification","Backend","Backup System","Backend Developer","2024-02-08","mistervertex","2024-01-15","Data protection issue, backups might be corrupted"
"BUG-013","Rate limiting not implemented on public endpoints","Critico","Da fare","Production","1. Make rapid requests to public API 2. Observe no rate limiting 3. Test potential DoS scenarios","Rate limiting should prevent abuse of public endpoints","No rate limiting allows potential DoS attacks and API abuse","Backend","API Security","Backend Developer","2024-02-01","mistervertex","2024-01-12","Security vulnerability allowing API abuse"
"BUG-014","TypeScript errors in build process","Minore","Da fare","Development","1. Run npm run build 2. Observe TypeScript compilation errors 3. Check type definitions","Build should complete without TypeScript errors","Several TypeScript errors during build, some types not properly defined","Frontend","Build Process","Frontend Developer","2024-02-10","mistervertex","2024-01-18","Development experience issue, potential runtime errors"
"BUG-015","Session management inconsistencies","Maggiore","Da fare","All","1. Login from multiple tabs 2. Logout from one tab 3. Check session state in other tabs","Session state should be consistent across all tabs","Session state not synchronized between tabs, inconsistent behavior","Backend","Session Management","Backend Developer","2024-02-12","mistervertex","2024-01-16","UX issue causing confusion for users with multiple tabs"