"Data","Versione","Ambito","Descrizione","Repo","Commit/Tag","Autore"
"2024-01-05","v0.1.0","Initial","Progetto inizializzato con Next.js 15.5.3 e configurazione base","mistervertex","initial-commit","Piero Ferrari"
"2024-01-08","v0.1.1","Frontend","Implementato layout base con Tailwind CSS e componenti UI","mistervertex","feat/ui-layout","Frontend Team"
"2024-01-10","v0.1.2","Backend","Configurazione Supabase e schema database iniziale","mistervertex","feat/supabase-setup","Backend Team"
"2024-01-12","v0.1.3","Auth","Sistema di autenticazione con JWT e Supabase Auth","mistervertex","feat/authentication","Backend Team"
"2024-01-15","v0.1.4","Frontend","Dashboard utente e pagine principali","mistervertex","feat/user-dashboard","Frontend Team"
"2024-01-18","v0.1.5","Backend","API endpoints per gestione utenti e predizioni","mistervertex","feat/api-endpoints","Backend Team"
"2024-01-20","v0.1.6","Frontend","Componenti per visualizzazione predizioni e match","mistervertex","feat/predictions-ui","Frontend Team"
"2024-01-22","v0.1.7","Integration","Integrazione con XBank API per dati sportivi","mistervertex","feat/xbank-integration","Backend Team"
"2024-01-25","v0.1.8","AI","Integrazione OpenAI per generazione predizioni AI","mistervertex","feat/openai-integration","AI Team"
"2024-01-28","v0.1.9","Admin","Dashboard amministrativo e gestione utenti","mistervertex","feat/admin-dashboard","Backend Team"
"2024-01-30","v0.1.10","PWA","Configurazione PWA con service worker e manifest","mistervertex","feat/pwa-setup","Frontend Team"
"2024-02-01","v0.1.11","Security","Headers di sicurezza e configurazione CSP","mistervertex","feat/security-headers","Security Team"
"2024-02-03","v0.1.12","Backup","Sistema di backup utente e gestione dati","mistervertex","feat/backup-system","Backend Team"
"2024-02-05","v0.1.13","Notifications","Sistema di notifiche email e in-app","mistervertex","feat/notifications","Backend Team"
"2024-02-08","v0.1.14","Testing","Setup testing framework e primi test","mistervertex","feat/testing-setup","QA Team"
"2024-02-10","v0.1.15","Performance","Ottimizzazioni performance e bundle size","mistervertex","feat/performance-opt","Frontend Team"
"2024-02-12","v0.1.16","Documentation","Documentazione tecnica e guide sviluppo","mistervertex","docs/technical-docs","Tech Writer"
"2024-02-15","v0.1.17","Deployment","Configurazione deployment Vercel e CI/CD","mistervertex","feat/deployment","DevOps Team"
"2024-02-18","v0.1.18","Monitoring","Setup monitoring base e health checks","mistervertex","feat/monitoring","DevOps Team"
"2024-02-20","v0.1.19","Bugfix","Fix vari bug e miglioramenti stabilità","mistervertex","fix/stability-improvements","Development Team"
"2024-02-22","v0.1.20","Feature","Miglioramenti UX e responsive design","mistervertex","feat/ux-improvements","Frontend Team"
"2024-02-25","v0.2.0","Major","Release beta con features core complete","mistervertex","v0.2.0","Tech Lead"
"2024-02-28","v0.2.1","Hotfix","Fix critico per autenticazione JWT","mistervertex","hotfix/jwt-auth","Backend Team"
"2024-03-02","v0.2.2","Feature","Aggiunta gestione preferenze utente","mistervertex","feat/user-preferences","Backend Team"
"2024-03-05","v0.2.3","Frontend","Miglioramenti mobile e touch interactions","mistervertex","feat/mobile-improvements","Frontend Team"
"2024-03-08","v0.2.4","Performance","Ottimizzazione query database e caching","mistervertex","feat/db-optimization","Backend Team"
"2024-03-10","v0.2.5","Security","Audit sicurezza e fix vulnerabilità","mistervertex","fix/security-audit","Security Team"
"2024-03-12","v0.2.6","Feature","Sistema di rating e feedback predizioni","mistervertex","feat/prediction-rating","Backend Team"
"2024-03-15","v0.2.7","Integration","Miglioramenti integrazione API esterne","mistervertex","feat/api-improvements","Backend Team"
"2024-03-18","v0.2.8","Frontend","Nuovi componenti UI e design system","mistervertex","feat/design-system","Frontend Team"
"2024-03-20","v0.2.9","Testing","Espansione test coverage e E2E tests","mistervertex","feat/test-expansion","QA Team"
"2024-03-22","v0.2.10","Performance","Core Web Vitals optimization","mistervertex","feat/web-vitals","Frontend Team"
"2024-03-25","v0.3.0","Major","Release production-ready con monitoring completo","mistervertex","v0.3.0","Tech Lead"
"2025-11-01","v0.3.1","Frontend","Allineamento stile pagina Welcome al design system: palette scura, tipografia e spaziature uniformi; introdotta variante list-card; aggiunti stati hover/focus/active ai bottoni; risolta idratazione con formattazione data stabile","mistervertex","feat/welcome-style-unification","Assistant AI"